loading,comp,variable,loading_abs
-0.478315265451595,1,energy,0.478315265451595
-0.467252955460397,1,loudness,0.467252955460397
0.437746959896307,1,acousticness,0.437746959896307
-0.311411248938377,1,danceability,0.311411248938377
0.309514052738173,1,instrumentalness,0.309514052738173
-0.299200837047812,1,valence,0.299200837047812
-0.196933723934849,1,explicit,0.196933723934849
-0.180205855149375,1,tempo,0.180205855149375
-0.08297896957016,1,speechiness,0.08297896957016
0.02876064340841,1,mode,0.02876064340841
,,,
0.608201199881359,2,speechiness,0.608201199881359
0.458606180744803,2,danceability,0.458606180744803
0.384970352327349,2,explicit,0.384970352327349
-0.283438302077239,2,tempo,0.283438302077239
-0.235140074067661,2,energy,0.235140074067661
0.19169376824726,2,acousticness,0.19169376824726
-0.189484156393153,2,loudness,0.189484156393153
-0.188977919141361,2,mode,0.188977919141361
0.160206993930691,2,valence,0.160206993930691
-0.043722907283899,2,instrumentalness,0.043722907283899
,,,
-0.619877733211612,3,valence,0.619877733211612
0.500367007939041,3,explicit,0.500367007939041
-0.387333060334499,3,danceability,0.387333060334499
-0.314066479038689,3,mode,0.314066479038689
-0.241877746999921,3,acousticness,0.241877746999921
0.179793040100208,3,speechiness,0.179793040100208
0.132904343357357,3,energy,0.132904343357357
0.072205769479406,3,loudness,0.072205769479406
0.04505516799486,3,instrumentalness,0.04505516799486
-0.031340274345911,3,tempo,0.031340274345911
,,,
0.87933301075756,4,mode,0.87933301075756
-0.298840254881167,4,instrumentalness,0.298840254881167
-0.211696232182799,4,valence,0.211696232182799
0.208181724831338,4,speechiness,0.208181724831338
0.188970116140198,4,explicit,0.188970116140198
-0.083569144722528,4,danceability,0.083569144722528
-0.063376498961848,4,energy,0.063376498961848
-0.048757932437906,4,tempo,0.048757932437906
0.015010014991329,4,loudness,0.015010014991329
0.000555959030756,4,acousticness,0.000555959030756
,,,
0.880433886802434,5,tempo,0.880433886802434
0.377053675310295,5,speechiness,0.377053675310295
0.153780707394039,5,instrumentalness,0.153780707394039
-0.148311622964136,5,loudness,0.148311622964136
-0.118799134497105,5,danceability,0.118799134497105
0.102676154579595,5,acousticness,0.102676154579595
0.094472944638053,5,valence,0.094472944638053
-0.050070406570737,5,energy,0.050070406570737
0.025652679468216,5,explicit,0.025652679468216
0.016612751395676,5,mode,0.016612751395676
,,,
0.829683062432623,6,instrumentalness,0.829683062432623
0.33333565529303,6,explicit,0.33333565529303
0.297697722821404,6,mode,0.297697722821404
0.18785986012265,6,energy,0.18785986012265
0.167130318658373,6,valence,0.167130318658373
-0.121430162180961,6,acousticness,0.121430162180961
-0.117753566423284,6,speechiness,0.117753566423284
0.110314402626221,6,danceability,0.110314402626221
-0.088705034281055,6,tempo,0.088705034281055
-0.004063860641245,6,loudness,0.004063860641245
,,,
0.614254937556366,7,speechiness,0.614254937556366
-0.578857344732082,7,explicit,0.578857344732082
0.295910713862298,7,energy,0.295910713862298
-0.265975458322256,7,tempo,0.265975458322256
0.211307246297039,7,instrumentalness,0.211307246297039
-0.208614464559937,7,danceability,0.208614464559937
-0.196590494888583,7,acousticness,0.196590494888583
0.036096089973668,7,mode,0.036096089973668
0.034216871405742,7,loudness,0.034216871405742
-0.004081578999701,7,valence,0.004081578999701
,,,
-0.636338682101435,8,acousticness,0.636338682101435
-0.499685560260106,8,loudness,0.499685560260106
0.43034976184121,8,danceability,0.43034976184121
-0.297401692196999,8,valence,0.297401692196999
-0.176546340776738,8,explicit,0.176546340776738
-0.142185975425051,8,energy,0.142185975425051
0.111993698810465,8,tempo,0.111993698810465
-0.082599948437938,8,speechiness,0.082599948437938
0.031421502635237,8,mode,0.031421502635237
-0.000790922401288,8,instrumentalness,0.000790922401288
,,,
0.539349835212184,9,valence,0.539349835212184
-0.523981481862722,9,loudness,0.523981481862722
-0.4945173062057,9,danceability,0.4945173062057
-0.272647446903737,9,acousticness,0.272647446903737
0.220819558242509,9,explicit,0.220819558242509
-0.204704357774165,9,instrumentalness,0.204704357774165
-0.130984089940036,9,tempo,0.130984089940036
0.078288028632227,9,energy,0.078288028632227
-0.037305483442765,9,speechiness,0.037305483442765
-0.017845664680257,9,mode,0.017845664680257
,,,
0.736570510560167,10,energy,0.736570510560167
-0.439210151484994,10,loudness,0.439210151484994
0.41222190189715,10,acousticness,0.41222190189715
-0.19881782645932,10,valence,0.19881782645932
0.190110292141599,10,danceability,0.190110292141599
-0.111248147822549,10,instrumentalness,0.111248147822549
-0.077341243137773,10,speechiness,0.077341243137773
0.018821608765224,10,tempo,0.018821608765224
0.012714418206112,10,explicit,0.012714418206112
0.009340794126487,10,mode,0.009340794126487
